Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:36:27 2021,1609961787.8505967,1097.475,0.06399273872375488
Wed Jan  6 11:36:28 2021,1609961788.9253085,1204.199,0.07021570205688477
Wed Jan  6 11:36:30 2021,1609961790.0000339,1204.187,0.07021498680114746
Wed Jan  6 11:36:31 2021,1609961791.0161076,202.064,0.011782169342041016
Wed Jan  6 11:36:32 2021,1609961792.090813,1204.228,0.07021737098693848
Wed Jan  6 11:36:33 2021,1609961793.1656382,1204.212,0.07021641731262207
Wed Jan  6 11:36:34 2021,1609961794.2410898,1203.75,0.0701894760131836
Wed Jan  6 11:36:35 2021,1609961795.316563,1204.097,0.07020974159240723
Wed Jan  6 11:36:36 2021,1609961796.3920522,1204.396,0.07022714614868164
Wed Jan  6 11:36:37 2021,1609961797.46659,1204.432,0.07022929191589355
Wed Jan  6 11:36:38 2021,1609961798.476067,90.303,0.005265474319458008
Wed Jan  6 11:36:39 2021,1609961799.485564,87.359,0.005093812942504883
Wed Jan  6 11:36:40 2021,1609961800.560247,1204.236,0.07021784782409668
Wed Jan  6 11:36:41 2021,1609961801.569743,88.606,0.005166530609130859
Wed Jan  6 11:36:42 2021,1609961802.6440523,1204.371,0.07022571563720703
Wed Jan  6 11:36:43 2021,1609961803.7198474,1204.363,0.07022523880004883
Wed Jan  6 11:36:44 2021,1609961804.7944095,1204.073,0.07020831108093262
Wed Jan  6 11:36:45 2021,1609961805.8149552,270.986,0.015800952911376953
Wed Jan  6 11:36:46 2021,1609961806.8892596,1204.146,0.07021260261535645
Wed Jan  6 11:36:47 2021,1609961807.963633,1204.567,0.0702371597290039
Wed Jan  6 11:36:49 2021,1609961809.0394824,1204.109,0.07021045684814453
Wed Jan  6 11:36:50 2021,1609961810.1162233,1204.289,0.070220947265625
Wed Jan  6 11:36:51 2021,1609961811.1904826,1204.158,0.07021331787109375
Wed Jan  6 11:36:52 2021,1609961812.2647703,1204.232,0.07021760940551758
Wed Jan  6 11:36:53 2021,1609961813.339079,1204.293,0.0702211856842041
Wed Jan  6 11:36:54 2021,1609961814.4133546,1204.404,0.07022762298583984
Wed Jan  6 11:36:55 2021,1609961815.489031,1204.318,0.07022261619567871
Wed Jan  6 11:36:56 2021,1609961816.563313,1204.404,0.07022762298583984
Wed Jan  6 11:36:57 2021,1609961817.6375773,1204.277,0.0702202320098877
Wed Jan  6 11:36:58 2021,1609961818.7118797,1204.105,0.07021021842956543
Wed Jan  6 11:36:59 2021,1609961819.786122,1204.306,0.0702219009399414
Wed Jan  6 11:37:00 2021,1609961820.8616047,1204.22,0.07021689414978027
Wed Jan  6 11:37:01 2021,1609961821.935877,1204.101,0.07020998001098633
Wed Jan  6 11:37:03 2021,1609961823.0107627,1204.4,0.07022738456726074
Wed Jan  6 11:37:04 2021,1609961824.0856354,1203.148,0.07015442848205566
Wed Jan  6 11:37:05 2021,1609961825.1611848,1204.31,0.07022213935852051
Wed Jan  6 11:37:06 2021,1609961826.2372203,1204.318,0.07022261619567871
Wed Jan  6 11:37:07 2021,1609961827.2468278,84.394,0.00492095947265625
Wed Jan  6 11:37:08 2021,1609961828.3213558,1204.248,0.07021856307983398
Wed Jan  6 11:37:09 2021,1609961829.3960626,1204.379,0.07022619247436523
Wed Jan  6 11:37:10 2021,1609961830.47136,1204.195,0.07021546363830566
Wed Jan  6 11:37:11 2021,1609961831.5475008,1204.302,0.0702216625213623
Wed Jan  6 11:37:12 2021,1609961832.6220455,1203.987,0.07020330429077148
Wed Jan  6 11:37:13 2021,1609961833.6962812,1204.162,0.07021355628967285
Wed Jan  6 11:37:14 2021,1609961834.7705905,1204.073,0.07020831108093262
Wed Jan  6 11:37:15 2021,1609961835.7799861,92.082,0.0053691864013671875
Wed Jan  6 11:37:16 2021,1609961836.8542218,1204.089,0.07020926475524902
Wed Jan  6 11:37:17 2021,1609961837.928222,1203.316,0.07016420364379883
Wed Jan  6 11:37:19 2021,1609961839.002453,1204.113,0.07021069526672363
Wed Jan  6 11:37:20 2021,1609961840.0763958,1204.207,0.07021617889404297
Wed Jan  6 11:37:21 2021,1609961841.0856445,90.381,0.0052700042724609375
Wed Jan  6 11:37:22 2021,1609961842.0950606,90.36,0.00526881217956543
Wed Jan  6 11:37:23 2021,1609961843.1044338,90.773,0.0052928924560546875
Wed Jan  6 11:37:24 2021,1609961844.1793728,1204.068,0.07020807266235352
Wed Jan  6 11:37:25 2021,1609961845.1884894,88.712,0.0051727294921875
Wed Jan  6 11:37:26 2021,1609961846.262768,1204.195,0.07021546363830566
Wed Jan  6 11:37:27 2021,1609961847.3375108,1204.105,0.07021021842956543
Wed Jan  6 11:37:28 2021,1609961848.412293,1204.167,0.07021379470825195
Wed Jan  6 11:37:29 2021,1609961849.4868913,1203.958,0.07020163536071777
Wed Jan  6 11:37:30 2021,1609961850.5614512,1204.175,0.07021427154541016
Wed Jan  6 11:37:31 2021,1609961851.6356966,1203.647,0.07018351554870605
Wed Jan  6 11:37:32 2021,1609961852.7103782,1203.999,0.07020401954650879
Wed Jan  6 11:37:33 2021,1609961853.7850447,1204.015,0.0702049732208252
Wed Jan  6 11:37:34 2021,1609961854.8593047,1204.081,0.07020878791809082
