Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:52:47 2021,1609962767.663437,1205.34,0.0702822208404541
Wed Jan  6 11:52:48 2021,1609962768.7378185,1205.381,0.07028460502624512
Wed Jan  6 11:52:49 2021,1609962769.8126333,1205.471,0.07028985023498535
Wed Jan  6 11:52:50 2021,1609962770.8872948,1205.324,0.0702812671661377
Wed Jan  6 11:52:51 2021,1609962771.9617603,1205.487,0.07029080390930176
Wed Jan  6 11:52:53 2021,1609962773.03641,1205.598,0.0702972412109375
Wed Jan  6 11:52:54 2021,1609962774.0667326,449.11,0.02618718147277832
Wed Jan  6 11:52:55 2021,1609962775.1414425,1205.455,0.07028889656066895
Wed Jan  6 11:52:56 2021,1609962776.1592872,229.55,0.013384819030761719
Wed Jan  6 11:52:57 2021,1609962777.2339704,1205.418,0.07028675079345703
Wed Jan  6 11:52:58 2021,1609962778.274605,606.667,0.03537416458129883
Wed Jan  6 11:52:59 2021,1609962779.3493395,1205.606,0.0702977180480957
Wed Jan  6 11:53:00 2021,1609962780.4240732,1205.471,0.07028985023498535
Wed Jan  6 11:53:01 2021,1609962781.4985452,1205.622,0.07029867172241211
Wed Jan  6 11:53:02 2021,1609962782.5730891,1205.602,0.0702974796295166
Wed Jan  6 11:53:03 2021,1609962783.5941007,283.85,0.01655101776123047
Wed Jan  6 11:53:04 2021,1609962784.6028233,75.853,0.004422903060913086
Wed Jan  6 11:53:05 2021,1609962785.677527,1205.5,0.07029151916503906
Wed Jan  6 11:53:06 2021,1609962786.7522128,1205.5,0.07029151916503906
Wed Jan  6 11:53:14 2021,1609962794.55827,117.167,0.0068318843841552734
Wed Jan  6 11:53:51 2021,1609962831.2123332,96.731,0.005640268325805664
Wed Jan  6 11:53:52 2021,1609962832.2865956,1206.068,0.07032465934753418
Wed Jan  6 11:53:53 2021,1609962833.3616889,1206.199,0.07033228874206543
Wed Jan  6 11:53:54 2021,1609962834.4367454,1206.186,0.07033157348632812
Wed Jan  6 11:53:55 2021,1609962835.5113628,1205.986,0.07031989097595215
Wed Jan  6 11:53:56 2021,1609962836.5859277,1206.002,0.07032084465026855
Wed Jan  6 11:53:57 2021,1609962837.6604867,1206.056,0.07032394409179688
Wed Jan  6 11:53:58 2021,1609962838.6884081,405.641,0.02365255355834961
Wed Jan  6 11:53:59 2021,1609962839.6998553,123.235,0.007185697555541992
Wed Jan  6 11:54:00 2021,1609962840.7151997,188.959,0.011018037796020508
Wed Jan  6 11:54:01 2021,1609962841.763519,610.155,0.03557753562927246
Wed Jan  6 11:54:02 2021,1609962842.825434,981.045,0.05720376968383789
Wed Jan  6 11:54:03 2021,1609962843.8382099,131.204,0.0076503753662109375
Wed Jan  6 11:54:04 2021,1609962844.873823,537.45,0.03133821487426758
Wed Jan  6 11:54:05 2021,1609962845.902351,155.075,0.00904226303100586
